bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-1_bold	0.0007887433155080215	0.005741104679144385	6	23.26128554158176	1.145688119624665	0.9709546368364611	0.5868	368.8902	0.11610483479201074	27	7.219251336898396	3.0497727419751333	3.03126	3.065573333333333	3.052484892592067	0.0152324	-0.017028387635946274	0.05306951701641083	374	70	70	38	2.43102112954334	2.4509999752044678	3.0	3.0	3.299999952316284	24.3194	104.3371	1504.5093	650.0	134526.0	575.0	6139.0	2227.5746	1.5824	4514.0264	13006.6937	12479.0	51674.0	5420.0	21958.0	5133.1842	60.4149736155523
sub-01_task-2_bold	0.0025833509234828495	0.004926033298153035	1	23.31929053190477	1.1980499441269838	1.0156544894973554	0.5875	366.6942	0.12176743384861761	48	12.664907651715039	3.0152126408814	3.0056233333333338	3.0048933333333334	3.035121255977533	0.0195003	-0.016051283106207848	0.05854855477809906	379	70	70	38	2.4245922420355	2.4509999752044678	3.0	3.0	3.299999952316284	21.9774	109.556	1517.5751	655.0	134499.0	576.0	6198.0	2216.1096	1.4975	4574.0827	13090.7144	12552.0	51701.0	5400.0	22130.0	5176.9029	62.27191770449281
sub-02_task-1_bold	0.00345467018469657	0.022919526833773088	1	21.887171790793655	1.0215118112962955	0.9262078782804232	0.5813	307.1556	0.0688621202820853	3	0.7915567282321899	2.483922637935927	2.4065166666666666	2.6216633333333332	2.423587913807781	0.00463566	-0.014132486656308174	0.031105725094676018	379	70	70	38	2.8045212125684804	2.4509999752044678	3.0	3.0	3.299999952316284	72.3988	77.8346	1135.6093	597.0	138561.0	540.0	3722.0	1507.4173	0.7174	3455.7141	10508.2947	10461.0	47639.0	4205.0	16552.0	3730.0093	33.25131008774042
sub-02_task-2_bold	0.0018132189973614776	0.013800732506596306	1	24.788015860238094	1.069196267936508	0.9318493827777781	0.5762	313.2231	0.11213174977111139	46	12.137203166226913	2.4569303147590085	2.398823333333333	2.5368766666666667	2.4350909442770257	0.00789532	-0.010652372613549232	0.034528881311416626	379	70	70	38	2.7581726250052565	2.4509999752044678	3.0	3.0	3.299999952316284	74.5665	75.9921	1112.0118	598.0	139221.0	542.0	3622.0	1421.5295	0.7704	3503.8495	10603.5611	10578.0	46979.0	4023.0	16780.0	3835.1071	39.81955601181835
sub-03_task-1_bold	0.006450263852242745	0.021809239445910285	1	31.336068763968267	1.1194970219312168	0.9518096688095237	0.5623	436.0248	0.24496435321745388	136	35.88390501319261	3.0136455695877333	2.897213333333333	3.23039	2.913333375429867	0.00847483	-0.01772303879261017	0.06502843648195267	379	70	70	38	2.7473892925694616	2.4509999752044678	3.0	3.0	3.299999952316284	45.7837	43.8169	1083.4769	574.0	137901.0	542.0	3637.0	1438.9054	0.6482	3980.8738	11973.083	11986.0	48299.0	3985.0	18872.0	4362.642	36.573637374676764
sub-03_task-2_bold	0.013510684210526315	0.056489436842105265	0	44.58080039124013	1.0205210228496047	0.9229350960686019	0.565	433.4722	0.48436192302672887	258	67.89473684210526	3.335668702859298	3.0623	3.6247666666666665	3.319939441911227	0.00888584	-0.018037810921669006	0.0637446790933609	380	70	70	38	2.822967415106405	2.4509999752044678	3.0	3.0	3.299999952316284	34.5139	48.243	1088.3429	579.0	137966.0	544.0	3646.0	1377.3274	0.4635	3997.467	12006.6081	12047.0	48234.0	4285.0	18730.0	4267.451	19.708102125034202
sub-04_task-1_bold	0.00940169312169312	0.021799344735449738	2	31.739030898673715	1.2091725384880636	1.0162651667639258	0.5559	372.7654	0.19472098653659614	143	37.83068783068783	2.579183143316131	2.618583333333333	2.6269266666666664	2.492039429948394	0.00676041	-0.0014640229055657983	0.02843121811747551	378	70	70	38	2.846547160415294	2.4509999752044678	3.0	3.0	3.299999952316284	27.876	60.4807	978.5449	586.0	140761.0	542.0	2768.0	1111.9438	0.2693	3549.7783	11142.2764	11306.0	45439.0	3599.0	17466.0	3971.7858	33.00832220795564
sub-04_task-2_bold	0.000857578947368421	0.010977977	0	31.815420960817963	1.1869703599472297	0.9474559249340371	0.5567	369.0075	0.18602188078702436	117	30.789473684210527	2.58197364828404	2.64162	2.62941	2.47489094485212	0.0120621	-0.001622874871827662	0.030199019238352776	380	70	70	38	2.7900382851470997	2.4509999752044678	3.0	3.0	3.299999952316284	28.1239	57.9775	988.6985	585.0	140563.0	543.0	2854.0	1134.6891	0.293	3560.5402	11080.5963	11246.0	45637.0	3385.0	17565.0	4030.7249	42.58026428287849
sub-05_task-1_bold	0.006918947368421052	0.036183929342105264	0	27.739998276332443	0.9872541414775727	0.8372711364379954	0.5503	483.3019	0.1461569557014762	77	20.263157894736842	2.680643144276709	2.5608633333333333	2.789593333333333	2.691472766163461	0.00613405	-0.00956342089921236	0.03426450863480568	380	70	70	38	2.7984804239592114	2.4509999752044678	3.0	3.0	3.299999952316284	35.8032	45.393	980.1686	568.0	138198.0	534.0	3034.0	1195.6401	0.2659	4175.199	12563.2019	12488.0	48002.0	4771.0	19947.0	4462.3753	26.672151697799563
sub-05_task-2_bold	0.0030245092838196283	0.03677508190981432	3	28.671799801223404	0.9771785451595744	0.8472910202925532	0.5509	482.1298	0.17798434196558596	114	30.23872679045093	2.726174255817135	2.60397	2.793946666666667	2.7806061007847367	0.00855198	-0.010335437953472137	0.035808417946100235	377	70	70	38	2.7486514050889914	2.4509999752044678	3.0	3.0	3.299999952316284	33.4626	47.4629	991.7517	572.0	137915.0	537.0	3090.0	1187.4149	0.2832	4286.8517	12660.5652	12570.0	48285.0	4708.0	20240.0	4573.1044	26.319543028715998
