lower;upper;raw;iq
16;25;9;NA
16;25;10;NA
16;25;11;NA
16;25;12;NA
16;25;13;NA
16;25;14;NA
16;25;15;NA
16;25;16;NA
16;25;17;NA
16;25;18;NA
16;25;19;55
16;25;20;57
16;25;21;59
16;25;22;61
16;25;23;63
16;25;24;65
16;25;25;67
16;25;26;69
16;25;27;71
16;25;28;73
16;25;29;75
16;25;30;77
16;25;31;79
16;25;32;81
16;25;33;83
16;25;34;85
16;25;35;87
16;25;36;89
16;25;37;91
16;25;38;93
16;25;39;95
16;25;40;97
16;25;41;98
16;25;42;100
16;25;43;103
16;25;44;106
16;25;45;109
16;25;46;112
16;25;47;114
16;25;48;117
16;25;49;120
16;25;50;123
16;25;51;126
16;25;52;130
16;25;53;134
16;25;54;138
16;25;55;143
16;25;56;148
26;30;9;NA
26;30;10;NA
26;30;11;NA
26;30;12;NA
26;30;13;NA
26;30;14;NA
26;30;15;NA
26;30;16;NA
26;30;17;NA
26;30;18;55
26;30;19;57
26;30;20;59
26;30;21;61
26;30;22;63
26;30;23;65
26;30;24;67
26;30;25;69
26;30;26;71
26;30;27;73
26;30;28;75
26;30;29;77
26;30;30;79
26;30;31;81
26;30;32;83
26;30;33;85
26;30;34;87
26;30;35;89
26;30;36;91
26;30;37;93
26;30;38;95
26;30;39;97
26;30;40;98
26;30;41;100
26;30;42;103
26;30;43;106
26;30;44;109
26;30;45;112
26;30;46;115
26;30;47;118
26;30;48;120
26;30;49;123
26;30;50;126
26;30;51;130
26;30;52;134
26;30;53;138
26;30;54;143
26;30;55;148
26;30;56;153
31;35;9;NA
31;35;10;NA
31;35;11;NA
31;35;12;NA
31;35;13;NA
31;35;14;NA
31;35;15;NA
31;35;16;55
31;35;17;57
31;35;18;59
31;35;19;61
31;35;20;63
31;35;21;65
31;35;22;67
31;35;23;69
31;35;24;71
31;35;25;73
31;35;26;74
31;35;27;76
31;35;28;78
31;35;29;80
31;35;30;82
31;35;31;84
31;35;32;86
31;35;33;88
31;35;34;90
31;35;35;92
31;35;36;94
31;35;37;97
31;35;38;99
31;35;39;101
31;35;40;103
31;35;41;105
31;35;42;107
31;35;43;110
31;35;44;113
31;35;45;117
31;35;46;120
31;35;47;123
31;35;48;126
31;35;49;129
31;35;50;133
31;35;51;137
31;35;52;141
31;35;53;145
31;35;54;149
31;35;55;153
31;35;56;157
36;40;9;NA
36;40;10;NA
36;40;11;NA
36;40;12;NA
36;40;13;NA
36;40;14;55
36;40;15;57
36;40;16;58
36;40;17;60
36;40;18;62
36;40;19;65
36;40;20;67
36;40;21;69
36;40;22;71
36;40;23;73
36;40;24;74
36;40;25;76
36;40;26;77
36;40;27;79
36;40;28;81
36;40;29;83
36;40;30;85
36;40;31;87
36;40;32;89
36;40;33;91
36;40;34;93
36;40;35;95
36;40;36;97
36;40;37;100
36;40;38;102
36;40;39;105
36;40;40;108
36;40;41;110
36;40;42;112
36;40;43;115
36;40;44;118
36;40;45;122
36;40;46;126
36;40;47;129
36;40;48;132
36;40;49;136
36;40;50;139
36;40;51;143
36;40;52;147
36;40;53;151
36;40;54;155
36;40;55;NA
36;40;56;NA
41;45;9;NA
41;45;10;NA
41;45;11;NA
41;45;12;NA
41;45;13;55
41;45;14;57
41;45;15;59
41;45;16;61
41;45;17;63
41;45;18;65
41;45;19;68
41;45;20;70
41;45;21;72
41;45;22;73
41;45;23;75
41;45;24;77
41;45;25;79
41;45;26;80
41;45;27;82
41;45;28;84
41;45;29;86
41;45;30;88
41;45;31;90
41;45;32;92
41;45;33;94
41;45;34;97
41;45;35;98
41;45;36;100
41;45;37;103
41;45;38;106
41;45;39;109
41;45;40;112
41;45;41;114
41;45;42;117
41;45;43;120
41;45;44;123
41;45;45;127
41;45;46;132
41;45;47;135
41;45;48;138
41;45;49;142
41;45;50;146
41;45;51;150
41;45;52;154
41;45;53;158
41;45;54;NA
41;45;55;NA
41;45;56;NA
46;50;9;NA
46;50;10;NA
46;50;11;55
46;50;12;57
46;50;13;58
46;50;14;60
46;50;15;62
46;50;16;64
46;50;17;67
46;50;18;69
46;50;19;71
46;50;20;73
46;50;21;75
46;50;22;76
46;50;23;78
46;50;24;80
46;50;25;82
46;50;26;84
46;50;27;85
46;50;28;87
46;50;29;89
46;50;30;91
46;50;31;93
46;50;32;95
46;50;33;97
46;50;34;100
46;50;35;102
46;50;36;105
46;50;37;107
46;50;38;110
46;50;39;113
46;50;40;116
46;50;41;119
46;50;42;122
46;50;43;125
46;50;44;128
46;50;45;133
46;50;46;138
46;50;47;141
46;50;48;145
46;50;49;149
46;50;50;153
46;50;51;157
46;50;52;NA
46;50;53;NA
46;50;54;NA
46;50;55;NA
46;50;56;NA
51;55;9;NA
51;55;10;55
51;55;11;57
51;55;12;59
51;55;13;61
51;55;14;63
51;55;15;65
51;55;16;67
51;55;17;69
51;55;18;71
51;55;19;73
51;55;20;75
51;55;21;77
51;55;22;79
51;55;23;81
51;55;24;83
51;55;25;85
51;55;26;87
51;55;27;88
51;55;28;90
51;55;29;92
51;55;30;94
51;55;31;96
51;55;32;98
51;55;33;100
51;55;34;103
51;55;35;106
51;55;36;109
51;55;37;111
51;55;38;114
51;55;39;117
51;55;40;120
51;55;41;123
51;55;42;126
51;55;43;130
51;55;44;133
51;55;45;138
51;55;46;143
51;55;47;147
51;55;48;151
51;55;49;155
51;55;50;158
51;55;51;NA
51;55;52;NA
51;55;53;NA
51;55;54;NA
51;55;55;NA
51;55;56;NA
56;60;9;55
56;60;10;57
56;60;11;59
56;60;12;61
56;60;13;63
56;60;14;65
56;60;15;67
56;60;16;69
56;60;17;71
56;60;18;73
56;60;19;75
56;60;20;77
56;60;21;79
56;60;22;81
56;60;23;83
56;60;24;85
56;60;25;87
56;60;26;89
56;60;27;91
56;60;28;93
56;60;29;95
56;60;30;97
56;60;31;98
56;60;32;100
56;60;33;103
56;60;34;106
56;60;35;109
56;60;36;112
56;60;37;114
56;60;38;117
56;60;39;120
56;60;40;123
56;60;41;126
56;60;42;130
56;60;43;134
56;60;44;138
56;60;45;143
56;60;46;148
56;60;47;152
56;60;48;156
56;60;49;160
56;60;50;NA
56;60;51;NA
56;60;52;NA
56;60;53;NA
56;60;54;NA
56;60;55;NA
56;60;56;NA
