,Cluster Index,Value,x,y,z,Unnamed: 5,MNIx,MNIy,MNIz,AALno,AALname
0,7,39.8,61,33,28,,32,-60,-16,60,Fusiform gyrus
1,7,35.9,59,28,30,,28,-70,-12,60,Fusiform gyrus
2,7,24.5,62,26,29,,34,-74,-14,60,Fusiform gyrus
3,6,19.2,70,43,47,,50,-40,22,86,Superior temporal gyrus
4,5,23.3,61,75,34,,32,24,-4,34,Insula
5,5,22.3,66,76,34,,42,26,-4,34,Insula
6,5,16.1,66,74,31,,42,22,-10,34,Insula
7,4,22.0,49,80,48,,8,34,24,156,"Anterior cingulate cortex, supracallosal"
8,3,32.1,31,35,28,,-28,-56,-16,59,Fusiform gyrus
9,2,17.9,71,60,29,,52,-6,-14,86,Superior temporal gyrus
10,1,13.9,70,54,32,,50,-18,-8,86,Superior temporal gyrus
