Cluster Index,Region,Cluster size,H,f-value,x,y,z
7,Precuneus,2401,L,30.5,-8,-70,40
7,Precuneus,2401,R,28,12,-46,42
7,Precuneus,2401,R,27.7,8,-50,42
7,Precuneus,2401,R,26.8,4,-56,50
7,Precuneus,2401,R,25.2,10,-50,46
7,Precuneus,2401,R,24.1,2,-62,48
6,SupraMarginal gyrus,553,R,25.5,58,-44,36
6,SupraMarginal gyrus,553,R,24.4,58,-46,44
6,Superior temporal gyrus,553,R,22.9,48,-40,10
6,SupraMarginal gyrus,553,R,21.9,52,-44,38
6,SupraMarginal gyrus,553,R,21.2,52,-40,44
6,Superior temporal gyrus,553,R,20.4,58,-50,18
5,"Anterior cingulate cortex, supracallosal",254,R,22.4,10,24,26
5,"Anterior cingulate cortex, pregenual",254,R,20.9,8,40,16
5,"Anterior cingulate cortex, pregenual",254,R,15.1,8,46,14
4,Insula,171,L,23.3,-28,22,4
4,Insula,171,L,22.4,-32,20,-8
4,Insula,171,L,21.2,-28,26,-4
4,Insula,171,L,16.8,-36,16,-2
3,Insula,119,R,26.9,32,24,-4
3,Insula,119,R,24.2,38,26,-4
3,Insula,119,R,22.1,42,20,-8
3,Insula,119,R,14.6,44,22,0
2,Precuneus,63,R,13.1,20,-54,20
2,Precuneus,63,R,11.9,14,-54,18
1,Precuneus,3,R,12.5,4,-46,14
