,Cluster Index,Value,x,y,z,Unnamed: 5,MNIx,MNIy,MNIz,AALno,AALname
0,7,30.5,41,28,56,,-8,-70,40,71,Precuneus
1,7,28.0,51,40,57,,12,-46,42,72,Precuneus
2,7,27.7,49,38,57,,8,-50,42,72,Precuneus
3,7,26.8,47,35,61,,4,-56,50,72,Precuneus
4,7,25.2,50,38,59,,10,-50,46,72,Precuneus
5,7,24.1,46,32,60,,2,-62,48,72,Precuneus
6,6,25.5,74,41,54,,58,-44,36,68,SupraMarginal gyrus
7,6,24.4,74,40,58,,58,-46,44,68,SupraMarginal gyrus
8,6,22.9,69,43,41,,48,-40,10,86,Superior temporal gyrus
9,6,21.9,71,41,55,,52,-44,38,68,SupraMarginal gyrus
10,6,21.2,71,43,58,,52,-40,44,68,SupraMarginal gyrus
11,6,20.4,74,38,45,,58,-50,18,86,Superior temporal gyrus
12,5,22.4,50,75,49,,10,24,26,156,"Anterior cingulate cortex, supracallosal"
13,5,20.9,49,83,44,,8,40,16,154,"Anterior cingulate cortex, pregenual"
14,5,15.1,49,86,43,,8,46,14,154,"Anterior cingulate cortex, pregenual"
15,4,23.3,31,74,38,,-28,22,4,33,Insula
16,4,22.4,29,73,32,,-32,20,-8,33,Insula
17,4,21.2,31,76,34,,-28,26,-4,33,Insula
18,4,16.8,27,71,35,,-36,16,-2,33,Insula
19,3,26.9,61,75,34,,32,24,-4,34,Insula
20,3,24.2,64,76,34,,38,26,-4,34,Insula
21,3,22.1,66,73,32,,42,20,-8,34,Insula
22,3,14.6,67,74,36,,44,22,0,34,Insula
23,2,13.1,55,36,46,,20,-54,20,72,Precuneus
24,2,11.9,52,36,45,,14,-54,18,72,Precuneus
25,1,12.5,47,40,43,,4,-46,14,72,Precuneus
