,Cluster Index,Value,x,y,z,Unnamed: 5,MNIx,MNIy,MNIz,AALno,AALname
0,4,23.9,49,24,64,,8,-78,56,72,Precuneus
1,4,23.6,48,26,62,,6,-74,52,72,Precuneus
2,4,18.2,53,28,60,,16,-70,48,72,Precuneus
3,3,30.1,61,37,26,,32,-52,-20,60,Fusiform gyrus
4,3,21.5,59,37,29,,28,-52,-14,60,Fusiform gyrus
5,3,20.4,61,32,27,,32,-62,-18,60,Fusiform gyrus
6,3,17.9,60,32,29,,30,-62,-14,60,Fusiform gyrus
7,2,24.7,30,31,28,,-30,-64,-16,59,Fusiform gyrus
8,2,22.8,28,33,27,,-34,-60,-18,59,Fusiform gyrus
9,2,20.4,28,36,27,,-34,-54,-18,59,Fusiform gyrus
10,2,17.9,28,36,25,,-34,-54,-22,59,Fusiform gyrus
11,1,13.2,52,26,60,,14,-74,48,72,Precuneus
